"School Name","School Code","School Phone No","Total Sports Events per Year","Total Culture Events per Year","Average Annual Fee","Total Teacher Complaints","Total Teacher Appreciation"
St. Aloysius High School,"SAHS001","123456789",10,"20","17240.0","5","8"
Canara High School,"CHS002","987654321",15,"25","30000.0","3","10"
Cambridge International School,"CIS003","567890123","8","18","49000.0","7","6"
Little Rock Indian School,"LRIS004","907654321","12","22","50000.0","4","9"
Lourdes Central School,"LCS005","234568901","9","15","37800.0","6","5"
Bharatiya Vidya Bhavan's School,"BVBS006","754321098","11","21","33800.0","5","7"
Sacred Heart School,"SHS007","543210986","13","23","21000.0","2","9"
"St. Theresa's School","STS008","678901345","7","16","52000.0","8","4"
"Canara Girls' High School","CGHS009","876543210","10","19","25000.0","6","6"
"St. Joseph's Central School","SJCS010","356789012","12","24","26000.0","4","8"
"Loyola School","LS011","890123467","8","17","35000.0","7","5"
"Rosario School","RS012","567891234","11","20","33400.0","3","7"
"BGS National Public School","BGSNPS013","912345678","9","18","78000.0","5","5"
"Sadvidya High School","SHS014","432109875","14","25","45500.0","2","10"
"Sharadha Vidalaya","SHV015","790123456","13","22","55900.0","3","9"
"Nalanda English Medium School","NEMS016","210976543","7","15","34800.0","6","4"
"Kendriya Vidyalaya","KV017","654321097","10","21","66300.0","4","6"
"St. Sebastian's School","SSS018","986543210","11","19","65500.0","5","7"
"St. Mary's School","SMS019","321098654","9","16","45000.0","7","5"
"City Central School","CCS020","876432109","12","23","35600.0","4","8"
